"# PW91 with 396 eV. PBE+TS with 400 eV.  # sc = simple cubic , hex = hexagonal.  Ground state structure from https://en.wikipedia.org/wiki/Periodic_table_(crystal_structure).",,,,,,,,,,,
Element,GroundStateStructure,FCC_LatticeConstant_PW91_1,HCP_LatticeConstant_PW91_1,HCP_c_over_a_PW91_1,FCC_LatticeConstant_PBE+TS_1,HCP_LatticeConstant_PW91_1,HCP_c_over_a_PBE+TS_1,BCC_LatticeConstant_PBE+TS_1,FCC_LatticeConstant_Experimental,HCP_LatticeConstant_Experimental,HCP_c_over_a_Experimental
H,hex,,,,,,,,,,
He,hcp,,,,,,,,,,
Li,bcc,,,,,,,,,,
Be,hcp,,,,,,,,,,
B,rho,,,,,,,,,,
C,hex,,,,,,,,,,
N,hex,,,,,,,,,,
O,sc,,,,,,,,,,
F,sc,,,,,,,,,,
Ne,fcc,,,,,,,,,,
Na,bcc,,,,,,,,,,
Mg,hcp,,,,,,,,,,
Al,fcc,,,,,,,,,,
Si,dc,,,,,,,,,,
P,orth,,,,,,,,,,
S,orth,,,,,,,,,,
Cl,orth,,,,,,,,,,
Ar,fcc,,,,,,,,,,
K,bcc,,,,,,,,,,
Ca,fcc,,,,,,,,,,
Sc,hcp,,3.234148905,1.520963658,,3.14462,1.55787,,,,
Ti,hcp,,2.88762256,1.564712108,,2.83748,1.58403,,,,
V,bcc,,,,,,,2.92302,,,
Cr,bcc,,,,,,,2.77161,,,
Mn,bcc_dist,,,,,,,2.71658,,,
Fe,bcc,,,,,,,2.77545,,,
Co,hcp,,2.511637874,1.604314989,,2.46011,1.60384,,,,
Ni,fcc,3.522324036,,,3.42039,,,,,,
Cu,fcc,3.654855338,,,3.53982,,,,,,
Zn,hcp_dist,,2.75615593,1.63250164,,2.70754,1.6014,,,,
Ga,orth_dist,,,,,,,,,,
Ge,dc,,,,,,,,,,
As,rho,,,,,,,,,,
Se,hex,,,,,,,,,,
Br,orth,,,,,,,,,,
Kr,fcc,,,,,,,,,,
Rb,bcc,,,,,,,,,,
Sr,fcc,,,,,,,,,,
Y,hcp,,,,,3.49871,1.56344,,,,
Zr,hcp,,3.203591486,1.57879935,,3.087,1.63246,,,,
Nb,bcc,,,,,,,3.19986,,,
Mo,bcc,,,,,,,3.08466,,,
Tc,hcp,,,,,2.65509,1.60994,,,,
Ru,hcp,,2.719615592,1.605993609,,2.66601,1.59097,,,,
Rh,fcc,3.844698432,,,3.76663,,,,,,
Pd,fcc,3.956685736,,,3.91057,,,,,,
Ag,fcc,4.158508395,,,4.06395,,,,,,
Cd,hcp_dist,,,,,2.9899,1.77236,,,,
In,tetr,,,,,,,,,,
Sn,tetr,,,,,,,,,,
Sb,rho,,,,,,,,,,
Te,hex,,,,,,,,,,
I,orth,,,,,,,,,,
Xe,fcc,,,,,,,,,,
Cs,bcc,,,,,,,,,,
Ba,ba,,,,,,,,,,
La,dhcp,,,,,,,,,,
Ce,dhcp/fcc,,,,,,,,,,
Pr,dhcp,,,,,,,,,,
Nd,dhcp,,,,,,,,,,
Pm,dhcp,,,,,,,,,,
Sm,rho,,,,,,,,,,
Eu,bcc,,,,,,,,,,
Gd,hcp,,,,,,,,,,
Tb,hcp,,,,,,,,,,
Dy,hcp,,,,,,,,,,
Ho,hcp,,,,,,,,,,
Er,hcp,,,,,,,,,,
Tm,hcp,,,,,,,,,,
Yb,fcc,,,,,,,,,,
Lu,hcp,,,,,,,,,,
Hf,hcp,,3.153594038,1.567710549,,3.10264,1.58603,,,,
Ta,bcc/tetr,,,,3.23789,NotApplicable,,,,,
W,bcc,,,,3.12985,NotApplicable,,,,,
Re,hcp,,2.785678002,1.600599228,,2.73458,1.61954,,,,
Os,hcp,,2.743792454,1.605993609,,,,,,,
Ir,fcc,3.881512966,,,3.84319,NotApplicable,,,,,
Pt,fcc,3.985698469,,,3.93203,NotApplicable,,,,,
Au,fcc,4.174893638,,,4.11342,NotApplicable,,,,,
Hg,rho,,,,,,,,,,
Tl,hcp,,,,,,,,,,
Pb,fcc,,,,,,,,,,
Bi,rho,,,,,,,,,,
Po,sc/rho,,,,,,,,,,
At,fcc,,,,,,,,,,
Rn,fcc,,,,,,,,,,
Fr,bcc,,,,,,,,,,
Ra,bcc,,,,,,,,,,
Ac,fcc,,,,,,,,,,
Th,fcc,,,,,,,,,,
Pa,tetr,,,,,,,,,,
U,orth,,,,,,,,,,
Np,orth,,,,,,,,,,
Pu,mon,,,,,,,,,,
Am,dhcp,,,,,,,,,,
Cm,dhcp,,,,,,,,,,
Bk,dhcp,,,,,,,,,,
Cf,dhcp,,,,,,,,,,
Es,fcc,,,,,,,,,,
Fm,fcc,,,,,,,,,,
Md,fcc,,,,,,,,,,
No,fcc,,,,,,,,,,
Lr,hcp,,,,,,,,,,
Rf,hcp,,,,,,,,,,
Db,bcc,,,,,,,,,,
Sg,bcc,,,,,,,,,,
Bh,hcp,,,,,,,,,,
Mt,fcc,,,,,,,,,,
Ds,bcc,,,,,,,,,,
Rg,bcc,,,,,,,,,,
Cn,bcc,,,,,,,,,,
Nh,hcp,,,,,,,,,,
Fl,hcp,,,,,,,,,,
Mc,unknown,,,,,,,,,,
Lv,unknown,,,,,,,,,,
Ts,unknown,,,,,,,,,,
Og,fcc,,,,,,,,,,
